Small Unit Installation Postcode,Previous Years (2001-2015) - Installations Quantity,Previous Years (2001-2015) - SGU Rated Output In kW,Jan 2016 - Installations Quantity,Jan 2016 - SGU Rated Output In kW,Feb 2016 - Installations Quantity,Feb 2016 - SGU Rated Output In kW,Mar 2016 - Installations Quantity,Mar 2016 - SGU Rated Output In kW,Apr 2016 - Installations Quantity,Apr 2016 - SGU Rated Output In kW,May 2016 - Installations Quantity,May 2016 - SGU Rated Output In kW,Jun 2016 - Installations Quantity,Jun 2016 - SGU Rated Output In kW,Jul 2016 - Installations Quantity,Jul 2016 - SGU Rated Output In kW,Aug 2016 - Installations Quantity,Aug 2016 - SGU Rated Output In kW,Sep 2016 - Installations Quantity,Sep 2016 - SGU Rated Output In kW,Oct 2016 - Installations Quantity,Oct 2016 - SGU Rated Output In kW,Nov 2016 - Installations Quantity,Nov 2016 - SGU Rated Output In kW,Dec 2016 - Installations Quantity,Dec 2016 - SGU Rated Output In kW,Jan 2017 - Installations Quantity,Jan 2017 - SGU Rated Output In kW,Feb 2017 - Installations Quantity,Feb 2017 - SGU Rated Output In kW,Mar 2017 - Installations Quantity,Mar 2017 - SGU Rated Output In kW,Apr 2017 - Installations Quantity,Apr 2017 - SGU Rated Output In kW,May 2017 - Installations Quantity,May 2017 - SGU Rated Output In kW,Jun 2017 - Installations Quantity,Jun 2017 - SGU Rated Output In kW,Jul 2017 - Installations Quantity,Jul 2017 - SGU Rated Output In kW,Aug 2017 - Installations Quantity,Aug 2017 - SGU Rated Output In kW,Sep 2017 - Installations Quantity,Sep 2017 - SGU Rated Output In kW,Oct 2017 - Installations Quantity,Oct 2017 - SGU Rated Output In kW,Nov 2017 - Installations Quantity,Nov 2017 - SGU Rated Output In kW,Dec 2017 - Installations Quantity,Dec 2017 - SGU Rated Output In kW,Installations Quantity Total,SGU Rated Output In kW Total
2630,583,"1,990.02",10,73.08,5,21.28,5,18.45,6,25.86,8,33.97,2,7.12,6,43.92,3,23.92,5,19.17,3,17.64,9,30.775,10,31.415,0,0,1,25.5,12,55.04,12,69.785,5,15.46,9,42.005,0,0,4,51.565,2,8.7,7,26.11,4,21.37,1,27.468,712,2679.618
2631,40,114.555,1,4.5,1,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1.56,0,0,0,0,1,5.4,0,0,0,0,0,0,2,4.8,1,20.14,1,2.32,0,0,0,0,0,0,0,0,0,0,0,0,48,156.275
2632,133,334.805,0,0,1,2.04,7,19.32,0,0,2,8.1,3,13.36,1,2.34,1,2,0,0,1,5.1,0,0,1,5.2,1,3.12,0,0,0,0,0,0,2,5.92,5,24.825,0,0,0,0,1,7.02,0,0,0,0,0,0,159,433.15
2633,20,52.44,0,0,1,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,63.08
2640,"2,566","8,966.83",11,69.285,18,75.61,14,58.73,12,136.3,14,101.525,19,238.92,9,68.523,20,174.688,13,78.193,19,92.7,18,136.473,31,402.333,6,106.422,27,179.478,25,136.206,12,48.09,15,49.015,14,82.73,22,107.541,17,96.892,22,209.16,28,164.466,26,153.127,25,121.079,3003,12054.313
2641,943,"3,127.88",3,11.08,6,22.5,5,53.06,7,31.36,4,9.11,4,12.08,6,139.985,6,40.72,7,51.75,3,12.52,21,144.318,9,35.035,4,30.26,3,11,13,37.54,3,19.762,10,109.628,4,19.04,8,80.8,13,50.762,5,17.06,6,26.86,10,54.29,2,10.33,1105,4158.725
2642,494,"2,086.97",3,95.64,4,16.68,6,27.62,2,9.3,6,20.48,7,33.6,1,6.24,5,22.742,1,3.36,4,36.45,1,4.94,4,18.533,2,7.816,3,9.32,3,23.472,3,14.4,3,37.51,2,11.45,3,13.94,5,21.72,4,18.072,5,30.792,9,65.245,2,10.98,582,2647.267
2643,372,"1,849.20",3,11.2,3,9.06,2,14.28,1,3,0,0,4,19.21,1,4.16,2,16.436,0,0,4,18.157,1,3.06,1,22,1,5.94,6,33.472,3,9.62,3,13.5,0,0,3,12.08,2,35.1,3,9.01,3,33.09,3,18.83,1,5.4,2,8.64,424,2154.445
2644,244,"1,214.22",2,8.64,1,5,1,3.64,0,0,3,68.4,1,2.08,0,0,2,11.41,4,18.37,4,20.2,1,5.1,5,26.38,1,6.48,2,8.72,2,4.02,2,9.36,1,6.5,1,3.3,2,10.032,2,11.1,3,41.543,3,17.146,1,4.86,0,0,288,1506.496
2645,43,204.13,1,5,2,8,0,0,0,0,0,0,1,5,0,0,0,0,1,3.135,1,10,0,0,0,0,0,0,0,0,0,0,1,5.3,0,0,1,5.67,0,0,0,0,0,0,0,0,0,0,0,0,51,246.235
